Student,ID,SIS User ID,SIS Login ID,Email,Section,Assignment 01,Assignment 02,Assignment 03,Assignment 04,Assignment 05,Assignment 06,Assignment 07,Assignment 08,Assignment 09,Assignment 10,Assignment 11,Assignment 12,Assignment 13,Assignment 14
Synthetic Student 001,SYN-EXP-000001,SYN-SIS-000001,synthetic001,astone29@schoolname.org,Section A,40.96,51.58,,,,,,,,,,,,
Synthetic Student 002,SYN-EXP-000002,SYN-SIS-000002,synthetic002,bmiller28@schoolname.org,Section B,44.94,46.08,,,,,,,,,,,,
Synthetic Student 003,SYN-EXP-000003,SYN-SIS-000003,synthetic003,crivera27@schoolname.org,Section C,53.34,58.55,,,,,,,,,,,,
Synthetic Student 004,SYN-EXP-000004,SYN-SIS-000004,synthetic004,dnguyen27@schoolname.org,Section D,51.95,63.69,,,,,,,,,,,,
Synthetic Student 005,SYN-EXP-000005,SYN-SIS-000005,synthetic005,epatel26@schoolname.org,Section A,42.24,48.96,,,,,,,,,,,,
Synthetic Student 006,SYN-EXP-000006,SYN-SIS-000006,synthetic006,fbrooks27@schoolname.org,Section B,91.56,92.3,,,,,,,,,,,,
Synthetic Student 007,SYN-EXP-000007,SYN-SIS-000007,synthetic007,gchen26@schoolname.org,Section C,24.14,38.62,,,,,,,,,,,,
Synthetic Student 008,SYN-EXP-000008,SYN-SIS-000008,synthetic008,hdavis27@schoolname.org,Section D,38.76,38.36,,,,,,,,,,,,
Synthetic Student 009,SYN-EXP-000009,SYN-SIS-000009,synthetic009,ievans27@schoolname.org,Section A,29.72,39.32,,,,,,,,,,,,
Synthetic Student 010,SYN-EXP-000010,SYN-SIS-000010,synthetic010,jflores26@schoolname.org,Section B,97.82,87.96,,,,,,,,,,,,
Synthetic Student 011,SYN-EXP-000011,SYN-SIS-000011,synthetic011,kgarcia29@schoolname.org,Section C,49.94,56.99,,,,,,,,,,,,
Synthetic Student 012,SYN-EXP-000012,SYN-SIS-000012,synthetic012,lhayes29@schoolname.org,Section D,38.58,37.66,,,,,,,,,,,,
Synthetic Student 013,SYN-EXP-000013,SYN-SIS-000013,synthetic013,mibrahim28@schoolname.org,Section A,63.33,68.87,,,,,,,,,,,,
Synthetic Student 014,SYN-EXP-000014,SYN-SIS-000014,synthetic014,njohnson28@schoolname.org,Section B,44.38,0,,,,,,,,,,,,
Synthetic Student 015,SYN-EXP-000015,SYN-SIS-000015,synthetic015,pkim27@schoolname.org,Section C,46.29,52.83,,,,,,,,,,,,
Synthetic Student 016,SYN-EXP-000016,SYN-SIS-000016,synthetic016,qlewis29@schoolname.org,Section D,0,68.17,,,,,,,,,,,,
Synthetic Student 017,SYN-EXP-000017,SYN-SIS-000017,synthetic017,rmartinez29@schoolname.org,Section A,19.36,34.27,,,,,,,,,,,,
Synthetic Student 018,SYN-EXP-000018,SYN-SIS-000018,synthetic018,snelson28@schoolname.org,Section B,61.66,66.32,,,,,,,,,,,,
Synthetic Student 019,SYN-EXP-000019,SYN-SIS-000019,synthetic019,tortiz29@schoolname.org,Section C,17.4,33.09,,,,,,,,,,,,
Synthetic Student 020,SYN-EXP-000020,SYN-SIS-000020,synthetic020,vprice27@schoolname.org,Section D,29.99,0,,,,,,,,,,,,
Synthetic Student 021,SYN-EXP-000021,SYN-SIS-000021,synthetic021,amiller27@schoolname.org,Section A,85.46,83.54,,,,,,,,,,,,
Synthetic Student 022,SYN-EXP-000022,SYN-SIS-000022,synthetic022,brivera29@schoolname.org,Section B,21.86,43.74,,,,,,,,,,,,
Synthetic Student 023,SYN-EXP-000023,SYN-SIS-000023,synthetic023,cnguyen28@schoolname.org,Section C,86.87,82.05,,,,,,,,,,,,
Synthetic Student 024,SYN-EXP-000024,SYN-SIS-000024,synthetic024,dpatel26@schoolname.org,Section D,54.25,57.54,,,,,,,,,,,,
Synthetic Student 025,SYN-EXP-000025,SYN-SIS-000025,synthetic025,ebrooks29@schoolname.org,Section A,26.12,40.97,,,,,,,,,,,,
Synthetic Student 026,SYN-EXP-000026,SYN-SIS-000026,synthetic026,fchen28@schoolname.org,Section B,50.09,50.88,,,,,,,,,,,,
Synthetic Student 027,SYN-EXP-000027,SYN-SIS-000027,synthetic027,gdavis28@schoolname.org,Section C,69.32,78.79,,,,,,,,,,,,
Synthetic Student 028,SYN-EXP-000028,SYN-SIS-000028,synthetic028,hevans28@schoolname.org,Section D,78.08,79.63,,,,,,,,,,,,
Synthetic Student 029,SYN-EXP-000029,SYN-SIS-000029,synthetic029,iflores29@schoolname.org,Section A,51.95,62.6,,,,,,,,,,,,
Synthetic Student 030,SYN-EXP-000030,SYN-SIS-000030,synthetic030,jgarcia28@schoolname.org,Section B,20.57,0,,,,,,,,,,,,
Synthetic Student 031,SYN-EXP-000031,SYN-SIS-000031,synthetic031,khayes29@schoolname.org,Section C,0,52.68,,,,,,,,,,,,
Synthetic Student 032,SYN-EXP-000032,SYN-SIS-000032,synthetic032,librahim29@schoolname.org,Section D,44.9,46.36,,,,,,,,,,,,
Synthetic Student 033,SYN-EXP-000033,SYN-SIS-000033,synthetic033,mjohnson28@schoolname.org,Section A,49.43,58.47,,,,,,,,,,,,
Synthetic Student 034,SYN-EXP-000034,SYN-SIS-000034,synthetic034,nkim26@schoolname.org,Section B,86.93,83.05,,,,,,,,,,,,
Synthetic Student 035,SYN-EXP-000035,SYN-SIS-000035,synthetic035,plewis29@schoolname.org,Section C,26.77,33.36,,,,,,,,,,,,
Synthetic Student 036,SYN-EXP-000036,SYN-SIS-000036,synthetic036,qmartinez26@schoolname.org,Section D,30.11,39.93,,,,,,,,,,,,
Synthetic Student 037,SYN-EXP-000037,SYN-SIS-000037,synthetic037,rnelson27@schoolname.org,Section A,29.3,48.55,,,,,,,,,,,,
Synthetic Student 038,SYN-EXP-000038,SYN-SIS-000038,synthetic038,sortiz27@schoolname.org,Section B,70.91,72.66,,,,,,,,,,,,
Synthetic Student 039,SYN-EXP-000039,SYN-SIS-000039,synthetic039,tprice29@schoolname.org,Section C,0,0,,,,,,,,,,,,
Synthetic Student 040,SYN-EXP-000040,SYN-SIS-000040,synthetic040,vstone26@schoolname.org,Section D,91.27,86.65,,,,,,,,,,,,
Synthetic Student 041,SYN-EXP-000041,SYN-SIS-000041,synthetic041,arivera27@schoolname.org,Section A,46.07,61.71,,,,,,,,,,,,
Synthetic Student 042,SYN-EXP-000042,SYN-SIS-000042,synthetic042,bnguyen26@schoolname.org,Section B,54.93,61.84,,,,,,,,,,,,
Synthetic Student 043,SYN-EXP-000043,SYN-SIS-000043,synthetic043,cpatel27@schoolname.org,Section C,12,29.7,,,,,,,,,,,,
