school_year,Student,SIS User ID,grade_level,course_id,section_id,teacher_id,enrollment_status
2025-2026,Synthetic Student 001,SYN-SIS-000001,9,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 002,SYN-SIS-000002,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 003,SYN-SIS-000003,11,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 004,SYN-SIS-000004,11,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 005,SYN-SIS-000005,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 006,SYN-SIS-000006,11,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 007,SYN-SIS-000007,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 008,SYN-SIS-000008,11,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 009,SYN-SIS-000009,11,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 010,SYN-SIS-000010,12,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 011,SYN-SIS-000011,9,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 012,SYN-SIS-000012,9,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 013,SYN-SIS-000013,10,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 014,SYN-SIS-000014,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 015,SYN-SIS-000015,11,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 016,SYN-SIS-000016,9,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 017,SYN-SIS-000017,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 018,SYN-SIS-000018,10,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 019,SYN-SIS-000019,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 020,SYN-SIS-000020,11,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 021,SYN-SIS-000021,11,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 022,SYN-SIS-000022,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 023,SYN-SIS-000023,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 024,SYN-SIS-000024,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 025,SYN-SIS-000025,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 026,SYN-SIS-000026,10,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 027,SYN-SIS-000027,10,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 028,SYN-SIS-000028,10,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 029,SYN-SIS-000029,9,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 030,SYN-SIS-000030,10,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 031,SYN-SIS-000031,9,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 032,SYN-SIS-000032,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 033,SYN-SIS-000033,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 034,SYN-SIS-000034,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 035,SYN-SIS-000035,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 036,SYN-SIS-000036,12,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 037,SYN-SIS-000037,11,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 038,SYN-SIS-000038,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 039,SYN-SIS-000039,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 040,SYN-SIS-000040,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 041,SYN-SIS-000041,11,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 042,SYN-SIS-000042,12,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 043,SYN-SIS-000043,11,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 044,SYN-SIS-000044,12,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 045,SYN-SIS-000045,9,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 046,SYN-SIS-000046,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 047,SYN-SIS-000047,11,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 048,SYN-SIS-000048,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 049,SYN-SIS-000049,12,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 050,SYN-SIS-000050,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 051,SYN-SIS-000051,9,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 052,SYN-SIS-000052,10,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 053,SYN-SIS-000053,9,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 054,SYN-SIS-000054,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 055,SYN-SIS-000055,9,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 056,SYN-SIS-000056,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 057,SYN-SIS-000057,9,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 058,SYN-SIS-000058,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 059,SYN-SIS-000059,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 060,SYN-SIS-000060,11,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 061,SYN-SIS-000061,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 062,SYN-SIS-000062,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 063,SYN-SIS-000063,10,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 064,SYN-SIS-000064,11,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 065,SYN-SIS-000065,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 066,SYN-SIS-000066,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 067,SYN-SIS-000067,10,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 068,SYN-SIS-000068,11,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 069,SYN-SIS-000069,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 070,SYN-SIS-000070,9,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 071,SYN-SIS-000071,11,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 072,SYN-SIS-000072,11,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 073,SYN-SIS-000073,10,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 074,SYN-SIS-000074,12,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 075,SYN-SIS-000075,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 076,SYN-SIS-000076,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 077,SYN-SIS-000077,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 078,SYN-SIS-000078,10,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 079,SYN-SIS-000079,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 080,SYN-SIS-000080,10,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 081,SYN-SIS-000081,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 082,SYN-SIS-000082,11,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 083,SYN-SIS-000083,11,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 084,SYN-SIS-000084,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 085,SYN-SIS-000085,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 086,SYN-SIS-000086,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 087,SYN-SIS-000087,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 088,SYN-SIS-000088,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 089,SYN-SIS-000089,11,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 090,SYN-SIS-000090,11,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 091,SYN-SIS-000091,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 092,SYN-SIS-000092,9,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 093,SYN-SIS-000093,12,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 094,SYN-SIS-000094,10,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 095,SYN-SIS-000095,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 096,SYN-SIS-000096,12,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 097,SYN-SIS-000097,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 098,SYN-SIS-000098,10,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 099,SYN-SIS-000099,12,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 100,SYN-SIS-000100,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 101,SYN-SIS-000101,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 102,SYN-SIS-000102,12,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 103,SYN-SIS-000103,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 104,SYN-SIS-000104,12,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 105,SYN-SIS-000105,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 106,SYN-SIS-000106,12,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 107,SYN-SIS-000107,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 108,SYN-SIS-000108,11,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 109,SYN-SIS-000109,10,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 110,SYN-SIS-000110,10,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 111,SYN-SIS-000111,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 112,SYN-SIS-000112,9,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 113,SYN-SIS-000113,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 114,SYN-SIS-000114,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 115,SYN-SIS-000115,10,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 116,SYN-SIS-000116,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 117,SYN-SIS-000117,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 118,SYN-SIS-000118,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 119,SYN-SIS-000119,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 120,SYN-SIS-000120,10,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 121,SYN-SIS-000121,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 122,SYN-SIS-000122,10,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 123,SYN-SIS-000123,10,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 124,SYN-SIS-000124,12,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 125,SYN-SIS-000125,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 126,SYN-SIS-000126,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 127,SYN-SIS-000127,9,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 128,SYN-SIS-000128,10,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 129,SYN-SIS-000129,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
